#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 512000      1.63e-01      2.61e-02      3.41e-03    5.4e-04
 514000      7.09e-02      8.84e-03      2.67e-03    5.4e-04
 516000      8.74e-01      9.36e-03      3.75e-02    5.4e-04
 518000      3.56e-01      7.21e-03      1.53e-02    5.4e-04
 520000      1.13e-01      6.31e-03      4.88e-03    5.1e-04
 522000      4.44e-01      1.15e-02      1.95e-02    5.1e-04
 524000      5.95e-01      1.12e-02      2.62e-02    5.1e-04
 526000      1.66e-01      4.79e-03      7.29e-03    5.1e-04
 528000      1.37e-01      4.24e-03      5.94e-03    5.1e-04
 530000      1.02e-01      1.03e-02      3.71e-03    5.1e-04
 532000      3.12e-01      3.41e-02      1.24e-02    5.1e-04
 534000      5.33e-02      9.34e-03      4.33e-04    5.1e-04
 536000      1.13e-01      3.23e-03      4.92e-03    5.1e-04
 538000      5.25e-01      1.57e-02      2.30e-02    5.1e-04
 540000      1.52e-01      1.82e-02      4.96e-03    5.1e-04
 542000      1.05e-01      1.68e-03      4.60e-03    5.1e-04
 544000      1.88e-01      3.27e-02      5.99e-03    5.1e-04
 546000      1.07e+00      9.19e-03      4.71e-02    5.1e-04
 548000      2.02e-01      9.18e-03      8.77e-03    5.1e-04
 550000      1.03e+00      1.45e-02      4.53e-02    5.1e-04
 552000      2.47e-01      4.31e-02      2.22e-03    5.1e-04
 554000      6.44e-01      1.82e-02      2.81e-02    5.1e-04
 556000      4.19e-01      3.80e-02      1.73e-02    5.1e-04
 558000      1.56e-01      1.55e-02      6.31e-03    5.1e-04
 560000      5.43e-01      3.69e-02      2.38e-02    4.9e-04
 562000      2.31e-01      1.90e-02      9.19e-03    4.9e-04
 564000      6.09e-01      1.83e-02      2.72e-02    4.9e-04
 566000      3.74e-01      2.92e-02      1.63e-02    4.9e-04
 568000      1.37e-01      1.46e-02      5.57e-03    4.9e-04
 570000      6.12e-01      1.13e-02      2.76e-02    4.9e-04
 572000      8.26e-01      1.84e-03      3.74e-02    4.9e-04
 574000      1.33e-01      1.44e-03      6.00e-03    4.9e-04
 576000      4.04e-01      5.02e-02      1.27e-02    4.9e-04
 578000      1.56e-01      3.21e-02      3.83e-03    4.9e-04
 580000      1.28e-01      9.44e-03      5.24e-03    4.9e-04
 582000      2.28e-01      1.17e-02      9.86e-03    4.9e-04
 584000      5.69e-01      1.67e-02      2.56e-02    4.9e-04
 586000      1.92e-01      1.19e-02      8.42e-03    4.9e-04
 588000      2.36e-01      2.50e-02      8.50e-03    4.9e-04
 590000      3.01e-01      8.42e-03      1.35e-02    4.9e-04
 592000      9.42e-01      4.41e-02      4.18e-02    4.9e-04
 594000      1.27e-01      1.39e-03      5.74e-03    4.9e-04
 596000      8.09e-01      8.66e-03      3.66e-02    4.9e-04
 598000      7.77e-02      4.96e-03      3.27e-03    4.9e-04
 600000      7.10e-01      8.68e-03      3.29e-02    4.6e-04
 602000      7.85e-02      3.59e-04      3.64e-03    4.6e-04
 604000      5.16e-01      6.87e-03      2.39e-02    4.6e-04
 606000      3.20e-02      5.18e-03      4.57e-04    4.6e-04
 608000      6.49e-01      1.44e-02      2.99e-02    4.6e-04
 610000      9.39e-02      2.45e-03      4.33e-03    4.6e-04
 612000      2.80e-01      3.62e-03      1.30e-02    4.6e-04
 614000      2.26e-01      4.35e-02      6.29e-03    4.6e-04
 616000      7.69e-02      5.27e-03      3.27e-03    4.6e-04
 618000      3.78e-01      7.97e-03      1.75e-02    4.6e-04
 620000      8.22e-02      9.18e-03      3.38e-03    4.6e-04
 622000      2.00e-01      8.83e-03      9.12e-03    4.6e-04
 624000      2.29e-01      3.59e-02      4.05e-03    4.6e-04
 626000      1.50e-01      1.34e-02      6.47e-03    4.6e-04
